Status,Progress,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q9_1,Q9_2,Q9_3,Q10_1,Q10_2,Q10_3,Q11_1,Q11_2,Q11_3,Q12,Q13,Q14
0,100,1,15/11/2025 11:38,R_8QFBdLJNh3kolNG,,,,,anonymous,EN,1,1,6,3,6,1,2,4,4,5,5,5,4,3,2,5,1,2,4,3,4,2,4,2,2,4,4,3,-,-,-
0,100,1,19/11/2025 19:16,R_8KdwRGb8YcTrH5F,,,,,anonymous,EN,1,1,8,3,6,1,2,4,4,3,4,4,5,5,2,3,2,2,2,3,2,2,4,3,3,3,4,4,The verification of ai results,understanding system logs from Industrial ,more understanding of industrial inputs
0,100,1,19/11/2025 19:21,R_2mtlDuKet73UKEk,,,,,anonymous,EN,1,1,7,2,4,2,2,4,3,4,4,4,4,2,2,5,3,4,4,4,4,4,2,4,,4,4,5,,,
0,100,1,19/11/2025 19:27,R_8MQMYyKzfV0rwcw,,,,,anonymous,EN,1,1,2,3,1,3,1,5,4,4,4,5,5,5,4,4,5,2,4,5,5,5,5,5,5,5,5,5,NLP integration ,Deployment cost,balancing between AI deployment cost and benefits 
0,100,1,19/11/2025 19:32,R_2hzohry71DYcStS,,,,,anonymous,EN,1,1,9,3,3,1,1,4,4,4,3,3,3,3,4,4,4,1,4,4,4,3,3,3,3,4,4,4,stronger risk mitigation in the framework,feasibility study is needed,
0,100,1,19/11/2025 19:35,R_2kXodC1btJwGeB4,,,,,anonymous,EN,1,1,4,2,5,3,2,5,5,5,5,5,5,5,2,4,5,2,4,4,4,4,4,4,4,4,4,5,logs integration,robotics technologies are absent ,
0,100,1,20/11/2025 10:29,R_4Nk1jLugHK5xws1,,,,,anonymous,EN,1,1,6,2,1,2,2,3,5,5,5,5,5,4,3,3,4,2,3,5,4,4,4,4,2,5,4,4,,,
0,100,1,20/11/2025 10:32,R_4SOvfgHOPQjAZq1,,,,,anonymous,EN,1,1,1,2,5,1,1,4,4,4,4,4,4,5,4,3,4,2,4,4,4,5,4,4,5,4,5,4,,,
0,100,1,20/11/2025 10:34,R_9mwMpETEP5ab80D,,,,,anonymous,EN,1,1,2,2,4,3,2,4,4,4,5,5,4,4,4,4,4,4,5,4,5,4,4,5,4,4,,4,,,
0,100,1,20/11/2025 10:53,R_8L0cggSP3RLDoy6,,,,,anonymous,EN,1,1,1,2,1,3,2,4,4,4,4,4,4,4,4,4,4,2,4,5,4,4,5,4,4,5,4,4,,,
0,100,1,20/11/2025 10:55,R_2Oq3et7ZtJJVMtZ,,,,,anonymous,EN,1,1,1,2,5,2,2,5,5,5,5,5,5,5,5,5,5,3,5,4,4,4,4,4,4,4,4,4,,,
0,100,1,22/11/2025 17:36,R_2WYA7qdExe8QYgk,,,,,anonymous,EN,1,1,2,2,5,2,1,4,4,4,5,5,4,4,4,4,4,2,5,5,5,5,5,5,5,5,5,5,industrail integration,AI-based repotics frameworks are needed  ,
0,100,1,22/11/2025 17:38,R_8usar55FaQTdVjc,,,,,anonymous,EN,1,1,2,1,5,1,1,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,5,5,4,4,,,
0,100,1,22/11/2025 17:39,R_2QK3C8OJaWgyPDs,,,,,anonymous,EN,1,1,2,1,5,1,1,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,,,
0,100,1,22/11/2025 17:40,R_8RD034hVyJxpfnr,,,,,anonymous,EN,1,1,2,1,5,2,2,5,5,5,5,5,5,5,5,5,5,5,5,,,,4,4,4,4,4,4,,,
0,100,1,22/11/2025 17:41,R_9qCf0pp84ENgFDq,,,,,anonymous,EN,1,1,1,1,5,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,,,
0,100,1,22/11/2025 17:42,R_8QmjtU3H9ArBpUc,,,,,anonymous,EN,1,1,1,1,5,1,1,4,4,4,4,4,4,4,4,5,5,3,4,4,4,3,4,3,4,4,3,4,,,
0,100,1,22/11/2025 17:44,R_8Tvpi8tvWC0Un7x,,,,,anonymous,EN,1,1,1,4,5,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,
0,100,1,22/11/2025 17:45,R_8UatmqoSXmhjAIF,,,,,anonymous,EN,1,1,1,3,5,2,1,3,3,3,3,3,5,5,5,5,5,2,5,3,3,3,3,5,5,5,5,3,,,
0,100,1,22/11/2025 17:46,R_8Rna6j2iJMTu2w9,,,,,anonymous,EN,1,1,1,3,5,3,1,4,3,3,4,4,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,,,
0,100,1,22/11/2025 17:48,R_8YeOVWFbW7er1ev,,,,,anonymous,EN,1,1,1,3,5,2,1,4,3,4,3,4,4,4,4,4,3,3,3,3,4,4,4,4,3,4,4,3,,,
0,100,1,24/11/2025 11:46,R_2hG7F5hMOKmkgBP,,,,,anonymous,EN,1,1,1,1,5,3,1,4,4,4,4,4,4,4,3,4,4,2,4,4,4,4,4,4,4,4,4,4,,,
